Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,RFANT3216120A5T,ANT1,RFANT3216120A5T,Antennas 2450+/-50MHz 2.9GHz Fc 2dBi,Walsin Technology Corporation,RFANT3216120A5T,RFANT3216120A5T-fe84b2f7-590b-49e8-8a63-884627783928,RFANT3216120A5T,Walsin Technology Corporation,7,9,,,Active,$0.34547-$0.40092
1,1042P,B1,BAT,,Keystone Electronics,1042P,1042P-4058531825,1042P,Keystone Electronics Corp.,10,10,,,Active,$4.04595-$4.33534
1,C0603C104K5RACTU,C1,0.1 uF,"SMD Comm X7R, Ceramic, 0.1 uF, 10p, 50 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0603",Kemet,C0603C104K5RACTU,C0603C104K5RACTU-1597843119,C0603C104K5RACTU,KEMET Corporation,10,6,,,Active,$0.08234-$0.10239
1,JMK105BJ105KV-F,C2,1 uF,,TAIYO YUDEN,JMK105BJ105KV-F,JMK105BJ105KV-F-1698894179,JMK105BJ105KV-F,Taiyo Yuden,1,10,,,NRFND,$0.01124-$0.02018
1,JMK105BJ105KV-F,C3,1 uF,,TAIYO YUDEN,JMK105BJ105KV-F,JMK105BJ105KV-F-1698894179,JMK105BJ105KV-F,Taiyo Yuden,1,10,,,NRFND,$0.01124-$0.02018
1,JMK105BJ105KV-F,C4,10 uF,,TAIYO YUDEN,JMK105BJ105KV-F,JMK105BJ105KV-F-1698894179,JMK105BJ105KV-F,Taiyo Yuden,1,10,,,NRFND,$0.01124-$0.02018
1,0603YC104KAZ2A,C5,100 nF,,AVX,0603YC104KAZ2A,0603YC104KAZ2A-1870140439,0603YC104KAZ2A,KYOCERA AVX,10,6,,,Active,$0.02429-$0.03830
1,0603YC104KAZ2A,C6,100 nF,,AVX,0603YC104KAZ2A,0603YC104KAZ2A-1870140439,0603YC104KAZ2A,KYOCERA AVX,10,6,,,Active,$0.02429-$0.03830
1,0603YC104KAZ2A,C7,100 nF,,AVX,0603YC104KAZ2A,0603YC104KAZ2A-1870140439,0603YC104KAZ2A,KYOCERA AVX,10,6,,,Active,$0.02429-$0.03830
1,0603YC104KAZ2A,C8,100 nF,,AVX,0603YC104KAZ2A,0603YC104KAZ2A-1870140439,0603YC104KAZ2A,KYOCERA AVX,10,6,,,Active,$0.02429-$0.03830
1,JMK105BJ105KV-F,C9,10 uF,,TAIYO YUDEN,JMK105BJ105KV-F,JMK105BJ105KV-F-1698894179,JMK105BJ105KV-F,Taiyo Yuden,1,10,,,NRFND,$0.01124-$0.02018
1,0603YC104KAZ2A,C10,100 nF,,AVX,0603YC104KAZ2A,0603YC104KAZ2A-1870140439,0603YC104KAZ2A,KYOCERA AVX,10,6,,,Active,$0.02429-$0.03830
1,885012005054,C11,6.8 pF,,W�rth Elektronik,885012005054,885012005054-8091644344,885012005054,Wurth Elektronik GmbH & Co. KG,7,6,,,Active,$0.00617-$0.00650
1,GRM1555C1H102JA01D,C12,1 pF,,Murata,GRM1555C1H102JA01D,GRM1555C1H102JA01D-2058999331,GRM1555C1H102JA01D,"Murata Manufacturing Co., Ltd.",10,10,,,Active,$0.00749-$0.00794
1,GJM1555C1H1R0WB01D,C13,1 pF,,Murata,GJM1555C1H1R0WB01D,GJM1555C1H1R0WB01D-1854366410,GJM1555C1H1R0WB01D,"Murata Manufacturing Co., Ltd.",10,10,,,Active,$0.02099-$0.02333
1,GJM1555C1H1R0WB01D,C14,1 pF,,Murata,GJM1555C1H1R0WB01D,GJM1555C1H1R0WB01D-1854366410,GJM1555C1H1R0WB01D,"Murata Manufacturing Co., Ltd.",10,10,,,Active,$0.02099-$0.02333
1,JMK105BJ105KV-F,C15,1 uF,,TAIYO YUDEN,JMK105BJ105KV-F,JMK105BJ105KV-F-1698894179,JMK105BJ105KV-F,Taiyo Yuden,1,10,,,NRFND,$0.01124-$0.02018
1,C0402C120C5GACTU,C16,12 pF,12 pF 0.25pF 50V  C0GNP0 04021005,KEMET,C0402C120C5GACTU,C0402C120C5GACTU-1714175065,C0402C120C5GACTU,KEMET Corporation,10,4,,,Active,$0.14786-$0.14946
1,C0402C120C5GACTU,C17,12 pF,12 pF 0.25pF 50V  C0GNP0 04021005,KEMET,C0402C120C5GACTU,C0402C120C5GACTU-1714175065,C0402C120C5GACTU,KEMET Corporation,10,4,,,Active,$0.14786-$0.14946
1,CL05B104KP5VPNC,C18,100 nF,,Samsung,CL05B104KP5VPNC,CL05B104KP5VPNC-8150027881,CL05B104KP5VPNC,SAMSUNG ELECTRO-MECHANICS,8,4,,,Contact Mfr,$0.00618-$0.00644
1,BLM18BD221SN1D,FL1,IND,,Murata,BLM18BD221SN1D,BLM18BD221SN1D-1916157060,BLM18BD221SN1D,"Murata Manufacturing Co., Ltd.",10,8,,,Active,$0.01728-$0.01884
1,10118192-0001LF,J1,CONN_005P_000C_1,,Amphenol ICC,10118192-0001LF,10118192-0001LF-1226650541,10118192-0001LF,AMPHENOL COMMUNICATIONS SOLUTIONS,10,10,,,Active,$0.25901-$0.28247
1,M20-9990246,J2,M20-9990246,"                                                    2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts",Harwin,M20-9990246,M20-9990246-1740526109,M20-9990246,HARWIN PLC,10,10,,,Active,$0.05625-$0.07653
1,MLZ1608M100WTD25,L1,10 uH,,TDK,MLZ1608M100WTD25,MLZ1608M100WTD25-1947919112,MLZ1608M100WTD25,TDK Corporation,10,8,,,Active,$0.06467-$0.06553
1,LQG15HS2N4S02D,L2,2.4 nH,,Murata,LQG15HS2N4S02D,LQG15HS2N4S02D-1997926434,LQG15HS2N4S02D,"Murata Manufacturing Co., Ltd.",10,10,,,Active,$0.01510-$0.01624
1,MLG1005S6N2ST000,L3,6.2 nH,,TDK,MLG1005S6N2ST000,MLG1005S6N2ST000-2007343952,MLG1005S6N2ST000,TDK Corporation,10,6,,,Active,$0.03532-$0.03859
1,LQP03HQ2N0B02D,L4,2 nH,,Murata,LQP03HQ2N0B02D,LQP03HQ2N0B02D-7045729757,LQP03HQ2N0B02D,"Murata Manufacturing Co., Ltd.",10,6,,,Active,$0.04060-$0.05723
1,LQP03HQ2N0B02D,L5,2 nH,,Murata,LQP03HQ2N0B02D,LQP03HQ2N0B02D-7045729757,LQP03HQ2N0B02D,"Murata Manufacturing Co., Ltd.",10,6,,,Active,$0.04060-$0.05723
1,LQG18HN2N7S00D,L6,2.7 nH,,Murata Electronics,LQG18HN2N7S00D,LQG18HN2N7S00D-1943459915,LQG18HN2N7S00D,"Murata Manufacturing Co., Ltd.",10,10,,,Active,$0.06490-$0.12332
1,XZCMECBDDGK53W,LED1,XZCMECBDDGK53W,1.6 x 0.8 mm Full-Color Surface Mount LED,Sun Led,XZCMECBDDGK53W,,,,,,,,,
1,ICS-43434,MIC1,ICS-43434,,TDK InvenSense,ICS-43434,ICS-43434-8324757753,ICS-43434,InvenSense Inc.,0,7,,,NRFND,$1.78963-$3.51520
1,ERA-3AEB154V,R1,150 kOhm,,Panasonic,ERA-3AEB154V,ERA3AEB154V-1433975857,ERA3AEB154V,Panasonic Corporation,10,10,,,Active,$0.03899-$0.04615
1,RC0805FR-07680KL,R2,680 kOhm,,Yageo,RC0805FR-07680KL,RC0805FR-07680KL-2121405024,RC0805FR-07680KL,YAGEO Corp.,10,10,,,Active,$0.00191-$0.01244
1,ERJ-2GEJ181X,R3,180 Ohm,Carbon Film Resistor 180 OHM 1/16W 5% 0402 SMD,Panasonic,ERJ-2GEJ181X,ERJ2GEJ181X-1911728951,ERJ2GEJ181X,Panasonic Corporation,10,10,,,Active,$0.00252-$0.00823
1,ERJ-2GEJ181X,R4,180 Ohm,Carbon Film Resistor 180 OHM 1/16W 5% 0402 SMD,Panasonic,ERJ-2GEJ181X,ERJ2GEJ181X-1911728951,ERJ2GEJ181X,Panasonic Corporation,10,10,,,Active,$0.00252-$0.00823
1,RMCF1206JT560R,R5,560 Ohm,,Stackpole International,RMCF1206JT560R,RMCF1206JT560R-2145790362,RMCF1206JT560R,"Stackpole Electronics,Inc.",10,8,,,Active,$0.00309-$0.00404
1,RC0402JR-0710KL,R6,10 kOhm,,Yageo,RC0402JR-0710KL,RC0402JR-0710KL-1627507816,RC0402JR-0710KL,YAGEO Corp.,10,10,,,Active,$0.05258-$0.18422
1,RC0402JR-0710KL,R7,10 kOhm,,Yageo,RC0402JR-0710KL,RC0402JR-0710KL-1627507816,RC0402JR-0710KL,YAGEO Corp.,10,10,,,Active,$0.05258-$0.18422
1,RC0402JR-0710KL,R8,10 kOhm,,Yageo,RC0402JR-0710KL,RC0402JR-0710KL-1627507816,RC0402JR-0710KL,YAGEO Corp.,10,10,,,Active,$0.05258-$0.18422
1,RC0603FR-0710KL,R9,100 kOhm,RES SMD 10kO 1p 1/10W 0603,Yageo,RC0603FR-0710KL,RC0603FR-0710KL-1918763983,RC0603FR-0710KL,YAGEO Corp.,10,10,,,Active,$0.52412-$0.66340
1,EG1218,SW1,SW3,,E-Switch,EG1218,EG1218-1823052862,EG1218,"E-Switch, Inc.",10,10,,,Active,$0.57648-$0.72703
1,MAX1555EZK+T,U1,MAX1555EZKT,"SOT23, Dual-Input, USB/AC Adapter, 1-Cell Li+ Battery Chargers",Analog Devices / Maxim Integrated,MAX1555EZK+T,MAX1555EZKT-2063092839,MAX1555EZK+T,Maxim Integrated,7,4,,,Active,$1.39324-$1.79602
1,TLV75801PDBVR,U2,TLV75801PDBVR,"500-mA, low-IQ, high-accuracy, adjustable ultra-low-dropout voltage regulator with enable 5-SOT-23 -40 to 125",Texas Instruments,TLV75801PDBVR,TLV75801PDBVR-7286160162,TLV75801PDBVR,Texas Instruments Incorporated,10,7,,,Active,$0.22624-$0.31198
1,CC2640R2FRHBT,U3,CC2640R2FRHB,SimpleLink 32bit Arm Cortex-M3 Bluetooth Low Energy 5.1 wireless MCU with 128kB flash 32-VQFN -40 to 85,Texas Instruments,CC2640R2FRHBT,CC2640R2FRHBT-8211461480,CC2640R2FRHBT,Texas Instruments Incorporated,10,7,,,Active,$2.85562-$3.59610
1,OPT3001DNPR,U4,OPT3001DNP,Digital ambient light sensor (ALS) with high-precision human-eye response 6-USON -40 to 85,Texas Instruments,OPT3001DNPR,OPT3001DNPR-8048510028,OPT3001DNPR,Texas Instruments Incorporated,10,10,,,Active,$0.89668-$0.94399
1,GPTS203211B,U5,SWITCH_03211B,,CW Industries,GPTS203211B,GPTS203211B-311060986,GPTS203211B,CW INDUSTRIES,10,10,,,Active,$1.45017-$1.50954
1,TSX-3225 24.0000MF15X-AC3,Y1,24 Mhz,,EPSON,TSX-3225 24.0000MF15X-AC3,TSX-3225240000MF15X-AC3-8226942750,TSX-322524.0000MF15X-AC3,Epson,10,7,,,Active,$0.51005-$0.51377
1,ABS07-32.768KHZ-T,Y2,32768,,Abracon,ABS07-32.768KHZ-T,ABS07-32768KHZ-T-1736539097,ABS07-32.768KHZ-T,Abracon,10,10,,,Active,$0.29147-$0.29580